business_id,review_count,stars
3nR6JE3hD-D-Fhzr10_k7g,153,3.5
gCZAYkIcRjNYYRHQ9htpJQ,77,3.5
WtqzJcXEt5lc0hSeJ-bAJg,24,3.0
T6r1CjkbVHMsGpR2dlyXuQ,76,4.0
vAgV7hgQF8IazGNRlNtDiw,24,2.0
VQGetWNN1f0dMWQ6ehDAVg,68,3.0
Tm2dKN_-DCdZfF2xMWrX7w,187,4.0
n28_5ElTCVkhP-9BTgQGgg,24,2.0
mKT30qU_MlLj4Ps82JAZ8w,65,3.0
KGpsB2dsdkxl8SGVUlJbZw,47,3.0
fT6Uwl6abRQfiNgxre_qbg,946,4.0
VxgjMl8tQrT4idJW_z8daA,123,4.0
cR8ZhSTdh8JQ1x9yQmmpUw,96,3.5
Ua6pmGj4sVnm-XONmoynSg,17,2.5
2Umo6re4oAAd_GkP5RFWwQ,29,3.0
JPJv82VJabWUDraSg-gRkw,11,3.5
R54Sh5Y3zjtZt7MjdfwDZA,88,4.0
hroo5nOO8b9QhHX0GLg7oA,838,3.5
ijg7qQCYnhUWBd5JUxbfvA,357,3.0
PJ-VbAtIOso1dqd2frQqqg,76,4.5
u3nwislXMKKwkpHAXAArbQ,282,3.5
zp-K5s3pGTWuuaVBWo6WZA,32,4.0
l_pR3x7v2mvE3luVdmGuoQ,60,3.0
WjkjrsOzMAQ2wgY9tVyS0Q,35,3.0
lBNPDcSvmUbq7W69HvmRTA,15,1.5
3vkP6t_kKN3JT8MMUaBVEA,226,4.0
GwAHQJP5bqBxPVPCS211KA,11,3.0
KWZCNN7VTFE4BVbIIW14Nw,10,1.5
npWIa3dIPEV1MTaZNq6AUA,261,4.0
dueRWFSTFdH3ZYT0bQdSzw,14,2.0
3QfcfPCJSo0z2v1bkdUemQ,34,4.0
hH8002bWtOFYtLgarFZBsg,294,4.5
idotH1un0AYxoEWTQP_bRg,11,2.5
JwyH48vqADWY6HieOMDxgQ,267,3.5
StzhG702lMPU_1Z7XZgxSg,80,3.5
OFw59czUoeeosFMKfRawmg,352,3.5
1Df5WnLX3DqN6ymlhqznaQ,457,4.5
YYRP-b61hjDljhWBfmUlDg,19,2.0
A1ZRCrjOMOwQGj2hCYWDEQ,38,1.5
BjH8Xepc10i6OhCDQdX6og,943,3.5
LQFmktF43j2NPncKdNd9mg,657,4.0
rcaPajgKOJC2vo_l3xa42A,3570,4.0
H8qpFitIesth86zqR4cwYg,1301,4.0
KyUFj09bfowyddCuOTP4mg,369,4.5
tCJGEQVqjELLYv3fPNX5Rw,190,3.5
7cK9uEV09iPmsTqOqmY3kQ,743,4.5
N-fNRYsykhK6ECfivAvIhw,41,3.5
OVTZNSkSfbl3gVB9XQIJfw,1252,3.0
PgJgpW4TKQ8IoALH2Yq-zA,1033,3.0
JPWg9acsCv_om9UFYGMJbA,348,4.0
BE_kdOU8RKyzQt8TRL7XfA,18,3.0
UE3AvVnaPEBPneVahYT2eA,835,4.0
aT_SsfZ6GQgJGyuIv1Hapw,1032,4.0
whTqmbE6OzlJUhm_vMtKqw,17,2.5
EC_ira45x9ayj1p_S-emEQ,26,3.5
mI5UYpuYxjiumMLgANoa9A,70,2.5
2Y7voMZLcJ4YYC8_UjEuPg,27,1.5
S1N5-ZXwR4fUIPs6dLnBYQ,318,3.5
DugcfgyM4DhDldK_jsF0Xw,58,2.5
fHNWz_t5jM5MP8o19flX8w,14,3.5
qdd1DHfeKHE72_djJxCJdQ,215,3.0
LcYrqMhUO_TITSXFk_SjJA,115,3.5
HxWDCU-kKido3ErM31msGQ,229,4.0
qRymrsLmlA34bC8PvNoujg,461,4.0
16Fplxu-OwVmTEFxQAUP4g,421,3.5
knDXdt6qgwd4xVPUsgkfWw,51,3.0
QjL_QaEJGRfyBS2-wuowGA,96,4.0
-Dnh48f029YNugtMKkkI-Q,457,4.0
7Xw_vv-ekUL2sTqipnKT0g,398,2.5
IpLvJEjb4AN8eWq5NE2TVA,127,3.5
x6HOapnwmAXifPrCBErk4w,39,2.5
jvUeGNTr7M-FRyozqKRZzQ,32,2.5
LpHi2ooFxVn5Ntttw_IcaQ,303,4.0
sAXy1yJRLllTm5WrJbJGAA,283,4.0
duG7f4gq2hS-QW50s-g4zA,34,3.5
5t9kTG9DakuamJgY65HA7w,47,2.5
X9ZxpDLM1WlS36C2RwVaUA,82,4.0
K67pkQljTFTW_P-7xUQrFw,73,3.0
sp0kp2ZWmO0a6CcK-SGd-Q,34,3.5
bsjBLLHR4TMVR5eAeLAI9w,171,3.5
n4uDGwRGtJ3vW2Adbha_wg,27,3.5
kpuMEGNsjD4R5VnJa8IWTw,141,4.0
6BL92dndWIhhyA7KZ7j9Fw,34,4.0
gh0mBl_SBZ6kX9mYMq-R5g,118,3.0
MZ4EEf4VtkeSJURIGgp2AQ,38,4.0
0PM5oFKO29sZmL5efmHxug,109,3.5
9q8JSsHC5lR6Hh16W_5ggg,28,3.0
NIPn7olHs6k3Svxy6DHUQA,32,3.0
hq10TdILrwtTcAESKY251Q,52,3.5
nZHGlgwG2DZEr3AOOazS5w,23,2.5
yqc1KQnsrsWT1ahHKQVlLA,16,2.0
oi5BvNYKud9bGC74XcnwEA,30,3.0
O1QugfyKD4G636jV43-vkw,10,3.0
_4noxz6NM0gBeVhZ58Emtg,136,4.0
nHFJtud7jWZhM9dHQ1eIRA,381,4.0
KiP4NjelCHqNAf36JxXUQQ,53,3.0
LCb2moBNkcBto_32rmZJ5A,147,4.0
fmgGNZyZfeCU8fug5LnpjQ,15,2.5
GqSA5t_OD1uxDZMwVLpoXA,247,3.5
sHXIiGercy22UVpwMMmYng,83,3.0
crrm1Wa8av7loDl-1kZk4Q,12,3.5
9L8UgjIvLfwylrFacB2HuA,15,4.0
sN4x4DszRsD4LkV3HEm44g,78,3.5
bsFZnc2mYyGy5cFf5EWTWg,254,3.0
pOEL97ld-FJMKO8Ki8JmYg,233,3.0
usGow17X8F4qER7kNPBXzg,40,3.0
sXg2NCfiCqK_X_4R5NK_jQ,258,4.0
O3tlWsT37H1JtLzje2Wmbg,49,3.5
