,business_id,label
SishpCMBxXFxMWMFyXCQIg,maGqjGXYPzal3YydKu8wjQ,2.0
l_66pFzAhxtKPWr5jiy4kQ,gLJravrwk28C2WXExAh5iw,2.0
yIuTWoQWyUS3MFJK1RWhbw,lZZLmG1ANLq2Yb3KuVA4NA,2.0
AOceQhT_9DhmMAmJuk9arg,ZeQqVIgbU68LS_kGyb0WsQ,2.0
P4zdZlj_meeYyBAP9AXSsA,syK8j95vkxKeHmQ3xyKnPQ,2.0
jP4qScj8tL5mJjLF4AdwZQ,5NVmwfMSqqdYAkWJcYPWEg,2.0
9Hb0svDiwxSWcotA_dTwWQ,9HG09ZNqzrEUz-ipSTRkKA,2.0
wcMA6f3tNXAzRUh8QfECXA,medCzwjjGeReqxOt-iPVTg,2.0
LPVuKArzTUNUmycaCVHe7w,i3tQsfpdKoXttqp4CFLA-Q,2.0
pm2YZGeZcSYUWkkHmZQr5A,9Aq0MmPAYcz-Xm2vbUq98A,2.0
EkJYSsABT9oaNwVny02e9A,fh-hCT2esNJEocdBdggWoQ,2.0
zOh4ttd7cJjns8_h12akiQ,fb3ygmKzuhQx-ONlUJimtg,2.0
4VlkKtrsu0vCrEkofTChcw,9T2fYTnKClbBKCDaJypGxw,2.0
QjZG5Cc6-JFjUJfYn4GY0A,MGqPcfjQs1pRTG53yG5jYQ,2.0
qnNka8AaL8aVBIGxYmJzmg,7_YOEQXlrbGpF9t9TPG_nQ,2.0
nhjGRhQIXqlYyi7qTTu8EQ,QMaaLfedGzNhHz6PZKAUkw,2.0
zAxi7jJU8FLGAVQ-qZTc4w,50LSp1WnwMA3PMXXvXDj0Q,2.0
38u1WxFalLHLiSDLPL_i2w,ockrLlsm6dhOGYjP9pvKSA,2.0
78xGGwV--YMWj__0MqvEGg,50LSp1WnwMA3PMXXvXDj0Q,2.0
T6k4-cQx04NkYuWivPAUDg,fb3ygmKzuhQx-ONlUJimtg,2.0
qR6u9KJb8DZtX8_PHfrsaQ,HLKRpb4q4RpPPi9H5EZ8GA,2.0
iKlE1282ulQ47fkUdpuGZg,medCzwjjGeReqxOt-iPVTg,2.0
ooa779X3VEXFfoUpsJel1Q,_1Z5KRNNB2UtKabhH_KU2w,2.0
b-Xqz0JmkR128TNHgmM2NQ,vVCA8deF2dlPXgZykhQfdw,2.0
qZ6grNbuq8wvhNmV9KvvXw,nOykFBuMLOuw3ZB2WTk50g,2.0
QzbKNQ2zUQjl9GFTK7YpLQ,7_582HYkh5Ki9n5aWK8dmQ,2.0
2CS3Oe1JSWlyNy4o04lzhA,NtIUfE8Yj119F3DSPXYs5A,2.0
_t1lZ1cq7GiF-fX2j9idlg,Bveb2P1efYgsS6SzqOqtOg,2.0
BD93n0hvk9QNa1g-UwvEVw,7yMtQ3nlre2Tr9C3UTQY-g,2.0
iSIbtFPwgV6GyFxDRlsXtw,YdYaBff_a50rNEI8tXTp9g,2.0
hL72PR-VtyviHihdm7YYEw,tBnkwWamzdO6X25sfV0Fyg,2.0
Jj35WI9puxNfyT5RufQNAg,QMaaLfedGzNhHz6PZKAUkw,2.0
dm6XsxzjTSZ25E7FodK08A,auDjameQ8PKA2cIwyI5uQA,2.0
9xuvMeyMGPBlT7ROywAzDA,TzpqNdtAZHXuIKf2xS0o2A,2.0
